Title,Price,Previous Close,Change Amount,Change Percent,Last Trading Day,Load Timestamp,Item Type,Path
,,,,,,07-08-2025 18:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,07-08-2025 18:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,07-08-2025 19:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,07-08-2025 19:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,07-08-2025 19:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,07-08-2025 19:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,07-08-2025 20:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,07-08-2025 20:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,07-08-2025 20:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,07-08-2025 20:30,Item,sites/Stock_Info/Lists/StockData
AAPL,220.03,213.25,6.78,3.1794%,07-08-2025,07-08-2025 21:30,Item,sites/Stock_Info/Lists/StockData
IBM,250.16,252.28,-2.12,-0.8403%,07-08-2025,07-08-2025 21:30,Item,sites/Stock_Info/Lists/StockData
MSFT,520.84,524.94,-4.1,-0.7810%,07-08-2025,07-08-2025 21:30,Item,sites/Stock_Info/Lists/StockData
AMZN,223.13,222.31,0.82,0.3689%,07-08-2025,07-08-2025 21:30,Item,sites/Stock_Info/Lists/StockData
AAPL,220.03,213.25,6.78,3.1794%,07-08-2025,07-08-2025 22:30,Item,sites/Stock_Info/Lists/StockData
IBM,250.16,252.28,-2.12,-0.8403%,07-08-2025,07-08-2025 22:30,Item,sites/Stock_Info/Lists/StockData
MSFT,520.84,524.94,-4.1,-0.7810%,07-08-2025,07-08-2025 22:30,Item,sites/Stock_Info/Lists/StockData
AMZN,223.13,222.31,0.82,0.3689%,07-08-2025,07-08-2025 22:30,Item,sites/Stock_Info/Lists/StockData
AAPL,220.03,213.25,6.78,3.1794%,07-08-2025,07-08-2025 23:30,Item,sites/Stock_Info/Lists/StockData
IBM,250.16,252.28,-2.12,-0.8403%,07-08-2025,07-08-2025 23:30,Item,sites/Stock_Info/Lists/StockData
MSFT,520.84,524.94,-4.1,-0.7810%,07-08-2025,07-08-2025 23:30,Item,sites/Stock_Info/Lists/StockData
AMZN,223.13,222.31,0.82,0.3689%,07-08-2025,07-08-2025 23:30,Item,sites/Stock_Info/Lists/StockData
AAPL,220.03,213.25,6.78,3.1794%,07-08-2025,08-08-2025 00:30,Item,sites/Stock_Info/Lists/StockData
IBM,250.16,252.28,-2.12,-0.8403%,07-08-2025,08-08-2025 00:30,Item,sites/Stock_Info/Lists/StockData
MSFT,520.84,524.94,-4.1,-0.7810%,07-08-2025,08-08-2025 00:30,Item,sites/Stock_Info/Lists/StockData
AMZN,223.13,222.31,0.82,0.3689%,07-08-2025,08-08-2025 00:30,Item,sites/Stock_Info/Lists/StockData
AAPL,220.03,213.25,6.78,3.1794%,07-08-2025,08-08-2025 01:30,Item,sites/Stock_Info/Lists/StockData
MSFT,513.71,510.88,2.83,0.5539%,25-07-2025,27-07-2025 23:30,Item,sites/Stock_Info/Lists/StockData
IBM,250.16,252.28,-2.12,-0.8403%,07-08-2025,08-08-2025 01:30,Item,sites/Stock_Info/Lists/StockData
MSFT,520.84,524.94,-4.1,-0.7810%,07-08-2025,08-08-2025 01:30,Item,sites/Stock_Info/Lists/StockData
AMZN,223.13,222.31,0.82,0.3689%,07-08-2025,08-08-2025 01:30,Item,sites/Stock_Info/Lists/StockData
AAPL,220.03,213.25,6.78,3.1794%,07-08-2025,08-08-2025 02:30,Item,sites/Stock_Info/Lists/StockData
IBM,250.16,252.28,-2.12,-0.8403%,07-08-2025,08-08-2025 02:30,Item,sites/Stock_Info/Lists/StockData
MSFT,520.84,524.94,-4.1,-0.7810%,07-08-2025,08-08-2025 02:30,Item,sites/Stock_Info/Lists/StockData
AMZN,223.13,222.31,0.82,0.3689%,07-08-2025,08-08-2025 02:30,Item,sites/Stock_Info/Lists/StockData
AAPL,220.03,213.25,6.78,3.1794%,07-08-2025,08-08-2025 03:30,Item,sites/Stock_Info/Lists/StockData
IBM,250.16,252.28,-2.12,-0.8403%,07-08-2025,08-08-2025 03:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 03:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 03:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 04:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 04:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 04:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 04:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 05:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 05:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 05:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 05:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 06:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 06:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 06:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 06:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 07:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 07:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 07:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 07:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 08:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 08:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 08:30,Item,sites/Stock_Info/Lists/StockData
,,,,,,08-08-2025 08:30,Item,sites/Stock_Info/Lists/StockData
